de; ru
überwiegend; преимущественно
Vorteil; преимущество
zu beachten; принимать во внимание, соблюдать
Gewitter; гроза
einstellen; приостанавливать
Schadhaft; повреждённый, испорченный
reißen (reißt); разрываться
schiebbar; выдвижной
Stippangeln; ловля на поплавочную снасть
Zusammenstellung; подбор, составление
empfindlich; чувствительный, болезненный, восприимчивый
lose; незакреплённый (например оторванная леск)
verwickelt; запутанный
fügen (fügt); присоединять
zutreffen (trifft zu); соответствавать действительности, подтверждаться
geflochtene; плетёный
Durchmesser; диаметр
Haltbarkeit; прочность
beeinflussen; влиять, воздействовать
anfeuchten; мочить, увлажнять
Bewirken; оказание воздейсвия/влияния, способствование
Bruchfestigkeit; прочность на разрыв
verjüngt; суженный, сужающийся
senkrechte; отвесный, перпендикулярный
Beschwerung; утяжеление
drähtige; проволочный
austauschbar; заменяемый
Erfolg; успех, достижение, результат
Schaufel; лопасть
Schleppangel; троллинг
Reißfestigkeit; прочность на разрыв
