Inhalt; содержание
Gegenstand; предмет, тема
herrenlos; бесхозный
überhaupt; вообще, вовсе не
sich erstrecken; распространяться
sich beziehen; относиться (к чему-л.)
Ausnahme; исключение
Eigentumserwerb; приобретение права собственности
stets; всегда, постоянно
unbefugt; не имеющий права/разрешения
widerrechtlich; незаконный, противозаконный
begehen; соверши́ть (что-л.)   - по́двиг, оши́бку, преступле́ние и т. п.
Diebstahl; воровство, кража
soweit; насколько
anbringen (angebracht); размещать
Rückkehr; возврат, возвращение
übertreten; выходить (из берегов)
befugt; вправе, имеющий право
überflutet; затопленный
Vertiefungen; впадина
räumlich; пространственный
Umfang; объём, размер
Pachtvertrag; арендный договор
während; во время (чего-л.), в течение (чего-л.)
entzogen; лишать
Genehmigung; санкция, разрешение
Nachteile; недостаток, ущерб
Erteilung; выдача (напр. разрешения)
Zaun; забор
Besitzer; владелец
Schneise; просека
erheblicher; значительный, существенный
ausreichende; достаточный, удовлетворительный
Kenntnisse; знания
nachweisen; доказывать
Dienstausweis; служебное удоствоверение
aushändigen; передавать, предоставлять (к проверке)
unverzüglich; незамедлительно, неотложно
unbeabsichtigt; непреднамеренно, неумышленно
Eigenverbrauch; собственное потребление
anwenden; применять
zulässig; допустимый
Fischpässen; рыбоход (проход рыбы в плотине)
Aussetzen; выпуск (рыбы)
durchgeführt; выполненный, проведённый
aufbewahren; сохранять, хранить
Aufzeichnung; заметка, запись
führen; вести (в том числе записи)
achten; обращать внимание
unmittelbar; непосредственно, напрямую
Schlachten; потрошение, убой
betäuben; оглушать
Wirbeltier; позвоночное животное
vorübergehend; временно
feuchten; влажный
Hecken; изгородь
zählen (zählt); считаться
nachstellen; преследовать
abzuwehren; предотвращать
weder .. noch ..; ни то ни другое
sich etablieren (etabliert); устраиваться
verlangen; требовать
zustehend; принадлежащий по праву, полагающийся
Befugnis; полномочия (на что-л.)
sonstigen; прочие
Ablauf; течение (события, времени)
Setzkescher; садок
Einhaltung; соблюдение
vorschriften; положение, предписание
stören; мешать
Handhabung; обращение (с чем-л. предмет)
zur Anzeige bringen; заявлять, доносить (напр. в полицию)
Landwirt; фермер
Schadensabwehr; предотвращение ущерба
Vergehen; проступок, преступление, правонарушение
Straftat; уголовное преступление
Wilderei; браконьерство
