Inhalt; содержание
Gegenstand; предмет, тема 
herrenlos; бесхозный
überhaupt; вообще, вовсе не 
sich erstrecken; распространяться
sich beziehen; относиться (к чему-л.)
Ausnahme; исключение 
Eigentumserwerb; приобретение права собственности 
stets; всегда, постоянно 
unbefugt; не имеющий права/разрешения 
widerrechtlich; незаконный, противозаконный 
begehen; соверши́ть (что-л.)   - по́двиг, оши́бку, преступле́ние и т. п.
Diebstahl; воровство, кража
soweit; насколько
anbringen (angebracht); размещать
Rückkehr; возврат, возвращение
übertreten; выходить (из берегов)
befugt; вправе, имеющий право
überflutet; затопленный
Vertiefungen; впадина 
räumlich; пространственный
Umfang; объём, размер
Pachtvertrag; арендный договор
während; во время (чего-л.), в течение (чего-л.)
entzogen; лишать 
Genehmigung; санкция, разрешение 
Nachteile; недостаток, ущерб 
Erteilung; выдача (напр. разрешения) 
