Aal;01. Oktober - 31. Dezember
Asche;01. Januar - 30. April
Bachforelle;01. Oktober - 15. März
Barbe;01. Mai - 30. Juni
Elritze;01. Mai - 30. Juni
Hasel;01. März - 30. April
Hecht;15. Februar - 30. April
Huchen;15. Februar - 30. Juni
Mairenke;01. Mai - 30. Juni
Muhlkoppe;01. Februar - 30. April
Nase;01. März - 30. April
Nerfling;01. März - 30. April
Regenbogenforelle;15. Dezember - 15. März
Renke (Felchen);15. Oktober - 31. Dezember
Schied (Rapfen);01. März - 30. April
Schleie;01. Mai - 30. Juni
Seeforelle;01. Oktober - 15. März
Seesaibling;01. Oktober - 31. Dezember
Zander;15. Februar - 30. April
Edelkrebs weibl.;01. Oktober - 31. Juli
