"добыча полезных ископаемых";"der Abbau, -e"
"отходы";"der Abfall, ""e"
"выжигание";"das Abflammen, -"
"сток";"der Abfluss, ""e"
"зависимость";"die Abhängigkeit, -en"
"охлаждение";"die Abkühlung, -en"
"месторождение";"die Ablagerung, -en"
"нерест";"das Ablaichen, -"
"сливные устройства";"die Ablassvorrichtungen, -"
"истечение";"der Ablauf, ""e"
"кладка";"das Ablegen, -"
"договорённость";"die Abmachung, -en"
"предупреждение";"die Abmahnung, -en"
"проверка";"die Abnahme, -n"
"снос";"das Abreißen, -"
"соскабливание";"das Abschaben, -"
"выкачивание";"die Abschöpfung, -en"
"смывание";"die Abschwemmung, -en"
"опускание";"das Absinken, -"
"распорка";"das Abspreizen, -"
"интервалы";"die Abständen, -"
"умирание";"das Absterben, -"
"мигрировать";"das Abwandern, -"
"сточные воды";"das Abwasser, """
"ввод сточных вод";"die Abwassereinleitung, -en"
"защита";"die Abwehr, -"
"экстрактор";"das Abzugseisen, -"
"ответвления";"die Abzweigungen, -"
"пахотные земли";"das Ackerlandes, -"
"задний проход";"der After, -"
"анальный плавник";"die Afterflosse, -n"
"край анального плавника";"der Afterflossenrand, ""er"
"AFTMA";"die AFTMA, -"
"проворство";"die Agilität, -"
"агрохимикаты";"die Agrarchemikalien, -"
"голавль";"der Aitel, -"
"акция";"die Aktion, -en"
"язь";"der Aland, -"
"водоросль";"die Alge, -n"
"рост водорослей";"der Algenaufwuchs, -"
"развитие водорослей";"die Algenentwicklung, -en"
"старицы";"die Altarme, -"
"возраст";"das Alter, -"
"определение возраста";"die Altersbestimmung, -en"
"возрастные группы";"die Altersstufen, -"
"старая вода";"das Altwasser, """
"алюминий";"das Aluminium, -"
"Америка";"Amerika, -"
"содержание аммиака";"der Ammoniakgehalt, ""e"
"земноводные";"die Amphibien, -"
"должностные лица";"die Amtspersonen, -"
"анализ";"die Analyse, -n"
"соединение";"die Anbindung, -en"
"место поклевки";"die Anbissstelle, -n"
"изменение";"die Änderung, -en"
"Андреас";"Andreas, -"
"право присвоения";"das Aneignungsrecht, -e"
"начало";"der Anfang, ""e"
"налет";"der Anflug, ""e"
"корм для налета";"die Anflugnahrung, -"
"прикармливание";"das Anfüttern, -"
"удочка";"die Angel, -n"
"рыболов-любитель";"der Angelfischer, -"
"любительское рыболовство";"die Angelfischerei, -en"
"удилище";"die Angelflucht, -"
"рыболовный водоём";"das Angelgewässer, """
"рыболовный крючок";"der Angelhaken, -"
"коллеги-рыболовы";"die Angelkollegen, -"
"метод рыбной ловли";"die Angelmethode, -n"
"место для рыбной ловли";"der Angelplatz, ""e"
"рыболовная катушка";"die Angelrolle, -n"
"удочка";"die Angelrute, -n"
"рыболовная леска";"die Angelschnur, ""e"
"рыболовный день";"der Angeltages, -"
"рыболовные принадлежности";"das Angelzubehör, -"
"рыболов";"der Angler, -"
"сиденье рыболова";"der Anglersitz, -"
"подсечка";"der Anhieb, -"
"установка";"die Anlage, -n"
"высадка на берег";"das Anlanden, -"
"стартовое кольцо";"der Anlaufring, ""e"
"принятие";"die Annahme, -n"
"расположение";"die Anordnung, -en"
"обогащение";"die Anreicherung, -en"
"подход";"der Ansatz, ""e"
"удар";"der Anschlag, ""e"
"поселение";"die Ansiedelung, -en"
"ловля рыбы в засаде";"das Ansitzfischen, -"
"возможности для засады";"die Ansitzmöglichkeiten, -"
"доля";"der Anteil, -e"
"ответ";"die Antwort, -en"
"применение";"die Anwendung, -en"
"присутствие";"die Anwesenheit, -"
"количество";"die Anzahl, -en"
"отображение";"die Anzeige, -n"
"индикатор";"der Anzeiger, -"
"апрель";"der April, -"
"аквариумы";"die Aquarien, -"
"хара";"das Armleuchtergewächs, -e"
"вид";"die Art, -en"
"определение вида";"die Artbestimmung, -en"
"виды";"die Arten, -"
"богатство видами";"der Artenreichtum, -"
"защита видов";"der Artenschutz, -"
"постановление о защите видов";"die Artenschutzverordnung, -en"
"разнообразие видов";"die Artenvielfalt, -"
"состав видов";"die Artenzusammensetzung, -en"
"сородичи";"die Artgenossen, -"
"хариус";"die Äsche, -n"
"регион обитания хариуса";"die Äschenregion, -en"
