erfolgen; осуществлять (ся), следовать
ausgesetzt; выпускать (рыбу)
eigene; собсвтенный
Eingeweide; потроха, внутренности
aneignen; присвоить
Begleitung; сопровождающее лицо, свита
Besitz; владение, обладание
gelten für; применяться (к чему/кому-л.), распространятся (на что/кого-л.)
Eigenschaft; качество, свойство
auszeichnen (zeichnet aus); отличать, характеризовать
Stellung; положение
erfolgen (erfolgt); осущесвляться, производиться
reißen; бурный
bevorzugt; предпочтительно
gefordert; необходимый, обязательный
sonst; в противном случае,
nachhaltiger; длительный, продолжительный
sich beziehen (Bezieht sich); иметь отношение, относиться
abnehmen (nimmt ab); уменьшаться, ослабевать
Abnahme; уменьшение
vermeiden; избегать
Verwendung; использование
vorwiegend; преимущественно
geflochtene; плетёный
waagerecht; горизонтальный 
Vorteil; выгода, преимущество 
Verlust; потеря, ущерб 
Spitze; вершинка (удилища)
Hülse; втулка
