Fischbestandes; популяция рыбы, рыбные запасы
Förderung; содействие, способствование
Ertragsfähigkeit; прибыльность, урожайность
Erhaltung; сохранение, поддержание
Beschaffenheit; свойство, качество(свойство)
angepasst; приспособленный, согласованный
ansiedlung; заселение, колонизация
Wiederansiedlung; повторное заселение 
(von etw.) bedroht sein  | war, gewesen; находи́ться под угро́зой (чего́-л.)
der Zweck; цель
schonen (Schonmaß); щадить (размер пощады)
sicherstellen; гарантировать, обеспечивать
fortgepflanzt; размножились
vorrangig; в первую очередь
ungestört; без помех
ermöglichen; предоставлять возможность
Entnahme; изъятие, забор 
ablaichen; метать икру
Fischbesatz; зарыбление
Bestands; наличие, запас
notwendig; необходимо
geeignet; пригодный для чего-либо, подходящий
begrenzt; ограниченный
Fraßdruck von Fischfeind; давление со стороны хищников
sich richten; исходить (из чего-либо)
Ausmaß; количество, объём
Nahrungsgrundlage; кормовая базa
fördern; способствовать
der Unterstand  Pl.: die Unterstände; убежище
schaffen; образовывать (создавать), устраивать (организовывать)
anbinden; присоединять
geschieht (geschehen); происходить (с кем-либо)
Wachstum; рост, развитие
bedingt; обусловленный 
berechtigt; обоснованный
erforderlich; необходимый, требующийся
Aufwuchs (Aufwuchsplätze); молодняк, подрост (место для развития молоди)
maßnahmen (Besatzmaßnahmen); меры, мероприятие (мероприятие по зарыблению)
Gesichtspunkt; точка зрения
Leitgedanke; руководящая идея
vornehmen (vorzunehmen); предпринимать
beachten; принимать во внимание, учитывать
Einzugsgebiet; водосборный бассейн
verenden; сдыхать, околевать
schlagartig; молниеносно, внезапно
nachhaltiger; продолжительный, длительный
Nutzung; использование, эксплуатация
Abschöpfung; изъятие
ertrages (Fischertrages); урожай, сбор (выручка)
Beeinträchtigung; снижение работоспособности, ущемление
Bewirtschaftung; ведение хозяйства (пользование)
Eigenschaften; свойство, качество(свойство)
wesentlichen; важный, существенный
erhalten; сохраняться
Weise (natürliche Weise); способ, образ, путь (естественныым образом)
nachwachsen; отрасти, вырасти
Erwerb; приобретение
Auswahl; выбор (чего-либо)
gelten (gilt); применяться (к чему-либо)
